slot,count_cg,label_petir,t_500,t_700,t_850,z_1000,r_500,r_700,r_850,w_700,cape,msl,tcc,d2m,tcrw,u500,u850,v500,v850,sp,u10,v10,t2m
2022-01-10 21:00:00,0,0,268.27402,281.7762,289.97928,916.81665,91.24477,82.62268,92.032974,-0.21237278,206.75,101073.625,0.99554443,296.25726,0.0204467775,4.777832,8.452744,3.7708893,-1.3579712,100648.375,2.313385,0.99046326,297.17108
2022-01-11 00:00:00,0,0,267.95535,282.32907,289.9538,1062.0823,76.86696,80.81343,94.08139,0.04885769,76,101243.25,0.9145508,296.33838,0.012084961,1.8245087,8.459625,2.0561981,-1.2032623,100817.19,2.5647125,1.0996857,297.87286
2022-01-11 03:00:00,0,0,267.83185,282.28467,290.13092,1071.2646,79.485214,78.73872,89.7363,-0.053246498,310.25,101247.81,0.94744873,296.7053,0.007446289,1.0392914,8.795181,2.47641,-3.4223633,100823.44,2.9143982,-0.5239563,301.2611
2022-01-11 06:00:00,0,0,267.94348,281.90768,290.45993,921.88135,82.6584,85.70859,88.80473,-0.33139133,968.5,101073.75,0.97372437,297.16663,0.0064697266,2.1645966,9.6024475,1.4034729,-2.9047089,100651.375,3.2615204,-1.079361,302.9795
2022-01-11 09:00:00,36,1,268.56827,282.18027,290.75183,805.23584,82.15225,75.691086,86.38818,0.355628974375,464.25,100939.69,1,297.12808,0.0204467775,1.9441376,10.772354,1.7837982,-0.94462585,100516.06,3.2338104,0.6344147,299.19452
2022-01-11 12:00:00,57,1,268.24457,281.81445,290.04678,1024.05,98.97119,95.80058,90.50496,0.008898735,238.375,101195.875,1,296.70593,0.0204467775,2.9658508,10.537094,0.71118164,-0.6932678,100770.69,1.9881744,0.653183,298.3958
2022-01-11 15:00:00,0,0,267.82196,282.55945,290.12436,1163.1648,102.56673,87.40811,90.037415,0.27085876,403.75,101365.5,1,296.3849,0.0204467775,6.3250275,9.508072,-0.36494446,-0.29969788,100939.06,2.2755127,-0.62413025,297.93964
2022-01-11 18:00:00,0,0,267.71332,282.48648,290.2757,999.5635,97.285904,81.59573,84.9169,0.20980549,497.125,101172.94,1,296.27435,0.0204467775,8.351074,8.162003,0.02142334,-1.9148865,100746.75,1.116684,0.5444946,297.4657
2022-01-11 21:00:00,0,0,267.96564,281.82007,290.38385,874.0581,90.28578,85.38135,79.31172,-0.1010828,473.375,101023.81,1,296.2116,0.0204467775,6.610718,8.373795,-1.2878265,-3.9452610125,100599.25,0.7720337,1.6489716,297.0567
2022-01-12 00:00:00,0,0,267.56104,282.69495,290.0574,1012.21045,82.95744,76.610245,85.914246,-0.16474915,176.75,101185.25,0.99035645,296.39276,0.009277344,5.118881,7.338028,1.3187866,-3.600174,100760.625,0.36047363,1.1366119,297.49225
2022-01-12 03:00:00,0,0,267.62848,282.02576,290.07953,1082.8245,72.52049,82.28299,85.12007,-0.346735,550.75,101262.19,0.99554443,297.06342,0.006591797,4.731888,7.3234406,0.93878174,-3.9452610125,100837.5,2.2200012,-1.3423462,301.1261
2022-01-12 06:00:00,3,1,267.73685,282.16974,290.33334,913.6428,83.38933,81.43106,81.41835,-0.22966194,826.125,101064.625,0.99035645,297.4195,0.0204467775,7.3838654,7.632675,1.7709656,-3.9452610125,100640.69,2.206894,-2.4720612,302.48282
2022-01-12 09:00:00,48,1,267.9784,281.75995,290.2257,822.948,89.59691,84.62013,87.03209,-0.12283516,550.625,100957.75,1,296.90958,0.0204467775,8.109634,7.4171753,1.5121613,-3.9410553,100534,1.414154,-2.0317078,301.6421
2022-01-12 12:00:00,6,1,267.9163,281.98422,289.4776,1046.9155,98.888855,87.06308,94.96121,-0.08547783,323,101222.875,1,296.59784,0.0204467775,5.8469086,7.1628876,-0.007446289,-3.8033295,100797.69,1.5889282,-1.270752,298.26105
2022-01-12 15:00:00,0,0,267.40826,282.5224,289.90585,1143.0903,97.68022,82.22566,91.415924,0.19351673,198.5,101340.375,1,296.38065,0.0204467775,5.385437,7.4916077,-0.7832947,-3.9452610125,100914.06,0.5143738,-0.12696838,297.31555
2022-01-12 18:00:00,0,0,267.1798,282.70477,290.78882,1005.7178,92.55368,77.078445,82.073944,0.15824413,172.5,101177.94,1,296.24744,0.0204467775,7.4076843,7.604767,-1.5736694,-3.9452610125,100752.19,0.72314453,0.6845398,297.0246
2022-01-12 21:00:00,0,0,267.77386,282.22073,289.97424,904.1179,87.85426,75.219635,92.741165,-0.11545181,204.625,101059.94,1,295.96094,0.0204467775,7.581711,6.288742,-1.0400543,-3.9452610125,100635,0.9864197,0.7701111,296.7638
2022-01-13 00:00:00,0,0,267.05478,282.6235,289.9209,1016.3269,88.60399,75.76776,89.18651,0.018318176,113.75,101190.31,1,296.13037,0.0204467775,8.055298,5.923462,0.7503052,-3.9452610125,100765.25,0.3278656,1.1187897,297.4737
2022-01-13 03:00:00,0,0,267.04578,282.17987,290.37915,1097.283,71.835464,76.42148,81.25113,-0.070118904,286.625,101280.44,1,296.70612,0.009521484,7.751999,5.771698,3.9555664,-3.9452610125,100855.125,1.6565247,-1.0635834,300.36847
2022-01-13 06:00:00,0,0,267.2271,281.8603,290.46933,964.2427,44.573196,74.86456,82.82881,0.031582832,404.75,101120.875,1,297.7798,0.0056152344,7.7081757,4.780304,6.671341,-3.9452610125,100697.19,2.0252228,-2.653656,302.229
2022-01-13 09:00:00,0,0,267.06305,282.40643,290.84637,787.4758,57.040558,71.45308,78.636246,0.14488316,383.75,100918.375,1,297.28113,0.0028076172,7.2632446,4.8171844,5.1219177,-3.6594238,100494.625,1.4430237,-1.4536743,301.44586
2022-01-13 12:00:00,0,0,267.6281,282.12433,291.1691,937.6223,58.43663,76.32501,73.118515,0.000620842,616.125,101092.125,1,297.24033,0.00061035156,4.703781,5.406555,5.2489014,-3.5818024,100668,-0.4315796,-0.9493561,300.00555
2022-01-13 15:00:00,28,1,267.58865,281.6413,290.44318,1119.4258,45.414963,81.79047,84.615585,-0.34576225,729.75,101308.94,0.98739624,296.49707,0.0032958984,4.06868,4.698395,4.8930054,-2.9089355,100883.44,-0.64237976,-1.1137238,298.33984
2022-01-13 18:00:00,25,1,267.4141,281.7549,289.83554,1057.804,43.24568,78.28313,89.69606,-0.30885887,720,101242,0.9822998,296.35626,0.0030517578,4.332367,5.6513824,4.609894,-3.9452610125,100814.75,0.9567261,0.009094238,297.4779
2022-01-13 21:00:00,0,0,266.98584,282.43762,290.6235,882.5796,50.902847,69.70735,84.25575,0.02050209,168.75,101036.69,0.9487915,295.9624,0.0031738281,5.108444,4.378525,4.6736755,-3.1385193,100611.06,0.71603394,1.2810669,296.96094
